video_name,seq_name,pred_frame_num
market_2,albedo,"[10, 11, 12, 13]"
market_2,albedo,"[15, 16, 17, 18]"
market_2,albedo,"[20, 21, 22, 23]"
market_2,albedo,"[25, 26, 27, 28]"
market_2,albedo,"[30, 31, 32, 33]"
market_2,albedo,"[35, 36, 37, 38]"
market_2,albedo,"[40, 41, 42, 43]"
market_2,albedo,"[45, 46, 47, 48]"
market_2,clean,"[10, 11, 12, 13]"
market_2,clean,"[15, 16, 17, 18]"
market_2,clean,"[20, 21, 22, 23]"
market_2,clean,"[25, 26, 27, 28]"
market_2,clean,"[30, 31, 32, 33]"
market_2,clean,"[35, 36, 37, 38]"
market_2,clean,"[40, 41, 42, 43]"
market_2,clean,"[45, 46, 47, 48]"
market_2,final,"[10, 11, 12, 13]"
market_2,final,"[15, 16, 17, 18]"
market_2,final,"[20, 21, 22, 23]"
market_2,final,"[25, 26, 27, 28]"
market_2,final,"[30, 31, 32, 33]"
market_2,final,"[35, 36, 37, 38]"
market_2,final,"[40, 41, 42, 43]"
market_2,final,"[45, 46, 47, 48]"
market_5,albedo,"[10, 11, 12, 13]"
market_5,albedo,"[15, 16, 17, 18]"
market_5,albedo,"[20, 21, 22, 23]"
market_5,albedo,"[25, 26, 27, 28]"
market_5,albedo,"[30, 31, 32, 33]"
market_5,albedo,"[35, 36, 37, 38]"
market_5,albedo,"[40, 41, 42, 43]"
market_5,albedo,"[45, 46, 47, 48]"
market_5,clean,"[10, 11, 12, 13]"
market_5,clean,"[15, 16, 17, 18]"
market_5,clean,"[20, 21, 22, 23]"
market_5,clean,"[25, 26, 27, 28]"
market_5,clean,"[30, 31, 32, 33]"
market_5,clean,"[35, 36, 37, 38]"
market_5,clean,"[40, 41, 42, 43]"
market_5,clean,"[45, 46, 47, 48]"
market_5,final,"[10, 11, 12, 13]"
market_5,final,"[15, 16, 17, 18]"
market_5,final,"[20, 21, 22, 23]"
market_5,final,"[25, 26, 27, 28]"
market_5,final,"[30, 31, 32, 33]"
market_5,final,"[35, 36, 37, 38]"
market_5,final,"[40, 41, 42, 43]"
market_5,final,"[45, 46, 47, 48]"
market_6,albedo,"[10, 11, 12, 13]"
market_6,albedo,"[15, 16, 17, 18]"
market_6,albedo,"[20, 21, 22, 23]"
market_6,albedo,"[25, 26, 27, 28]"
market_6,albedo,"[30, 31, 32, 33]"
market_6,albedo,"[35, 36, 37, 38]"
market_6,clean,"[10, 11, 12, 13]"
market_6,clean,"[15, 16, 17, 18]"
market_6,clean,"[20, 21, 22, 23]"
market_6,clean,"[25, 26, 27, 28]"
market_6,clean,"[30, 31, 32, 33]"
market_6,clean,"[35, 36, 37, 38]"
market_6,final,"[10, 11, 12, 13]"
