video_name,seq_num,pred_frame_num
bathroom04,0,7
bathroom04,0,9
bathroom04,1,7
bathroom04,1,9
bathroom04,2,7
bathroom04,2,9
bathroom04,3,7
bathroom04,3,9
bathroom05,0,7
bathroom05,0,9
bathroom05,1,7
bathroom05,1,9
bathroom05,2,7
bathroom05,2,9
bathroom05,3,7
bathroom05,3,9
bedroom02,0,7
bedroom02,0,9
bedroom02,1,7
bedroom02,1,9
bedroom02,2,7
bedroom02,2,9
bedroom02,3,7
bedroom02,3,9
bedroom03,0,7
bedroom03,0,9
bedroom03,1,7
bedroom03,1,9
bedroom03,2,7
bedroom03,2,9
bedroom03,3,7
bedroom03,3,9
bedroom05,0,7
bedroom05,0,9
bedroom05,1,7
bedroom05,1,9
bedroom05,2,7
bedroom05,2,9
bedroom05,3,7
bedroom05,3,9
bedroom_dark01,0,7
bedroom_dark01,0,9
bedroom_dark01,1,7
bedroom_dark01,1,9
bedroom_dark01,2,7
bedroom_dark01,2,9
bedroom_dark01,3,7
bedroom_dark01,3,9
bedroom_dark02,0,7
bedroom_dark02,0,9
bedroom_dark02,1,7
bedroom_dark02,1,9
bedroom_dark02,2,7
bedroom_dark02,2,9
bedroom_dark02,3,7
bedroom_dark02,3,9
bedroom_interior01,0,7
bedroom_interior01,0,9
bedroom_interior01,1,7
bedroom_interior01,1,9
bedroom_interior01,2,7
bedroom_interior01,2,9
bedroom_interior01,3,7
bedroom_interior01,3,9
boxing_studio01,0,7
boxing_studio01,0,9
boxing_studio01,1,7
boxing_studio01,1,9
boxing_studio01,2,7
boxing_studio01,2,9
boxing_studio01,3,7
boxing_studio01,3,9
building02,0,7
building02,0,9
building02,1,7
building02,1,9
building02,2,7
building02,2,9
building02,3,7
building02,3,9
city01,0,7
city01,0,9
city01,1,7
city01,1,9
city01,2,7
city01,2,9
city01,3,7
city01,3,9
contem_bedroom01,0,7
contem_bedroom01,0,9
contem_bedroom01,1,7
contem_bedroom01,1,9
contem_bedroom01,2,7
contem_bedroom01,2,9
contem_bedroom01,3,7
contem_bedroom01,3,9
desert01,0,7
desert01,0,9
desert01,1,7
desert01,1,9
desert01,2,7
desert01,2,9
desert01,3,7
desert01,3,9
dining_room01,0,7
dining_room01,0,9
dining_room01,1,7
dining_room01,1,9
dining_room01,2,7
dining_room01,2,9
dining_room01,3,7
dining_room01,3,9
eatery01,0,7
eatery01,0,9
eatery01,1,7
eatery01,1,9
eatery01,2,7
eatery01,2,9
eatery01,3,7
eatery01,3,9
exclusive_bedroom01,0,7
exclusive_bedroom01,0,9
exclusive_bedroom01,1,7
exclusive_bedroom01,1,9
exclusive_bedroom01,2,7
exclusive_bedroom01,2,9
exclusive_bedroom01,3,7
exclusive_bedroom01,3,9
furniture01,0,7
furniture01,0,9
furniture01,1,7
furniture01,1,9
furniture01,2,7
furniture01,2,9
furniture01,3,7
furniture01,3,9
garden02,0,7
garden02,0,9
garden02,1,7
garden02,1,9
garden02,2,7
garden02,2,9
garden02,3,7
garden02,3,9
graffiti01,0,7
graffiti01,0,9
graffiti01,1,7
graffiti01,1,9
graffiti01,2,7
graffiti01,2,9
graffiti01,3,7
graffiti01,3,9
hallway01,0,7
hallway01,0,9
hallway01,1,7
hallway01,1,9
hallway01,2,7
hallway01,2,9
hallway01,3,7
hallway01,3,9
hospital_room01,0,7
hospital_room01,0,9
hospital_room01,1,7
hospital_room01,1,9
hospital_room01,2,7
hospital_room01,2,9
hospital_room01,3,7
hospital_room01,3,9
hotel_room01,0,7
hotel_room01,0,9
hotel_room01,1,7
hotel_room01,1,9
hotel_room01,2,7
hotel_room01,2,9
hotel_room01,3,7
hotel_room01,3,9
hotel_sand01,0,7
hotel_sand01,0,9
hotel_sand01,1,7
hotel_sand01,1,9
hotel_sand01,2,7
hotel_sand01,2,9
hotel_sand01,3,7
hotel_sand01,3,9
japanese_house01,0,7
japanese_house01,0,9
japanese_house01,1,7
japanese_house01,1,9
japanese_house01,2,7
japanese_house01,2,9
japanese_house01,3,7
japanese_house01,3,9
japanese_restaurant01,0,7
japanese_restaurant01,0,9
japanese_restaurant01,1,7
japanese_restaurant01,1,9
japanese_restaurant01,2,7
japanese_restaurant01,2,9
japanese_restaurant01,3,7
japanese_restaurant01,3,9
kitchen04,0,7
kitchen04,0,9
kitchen04,1,7
kitchen04,1,9
kitchen04,2,7
kitchen04,2,9
kitchen04,3,7
kitchen04,3,9
kitchen05,0,7
kitchen05,0,9
kitchen05,1,7
kitchen05,1,9
kitchen05,2,7
kitchen05,2,9
kitchen05,3,7
kitchen05,3,9
kitchen06,0,7
kitchen06,0,9
kitchen06,1,7
kitchen06,1,9
kitchen06,2,7
kitchen06,2,9
kitchen06,3,7
kitchen06,3,9
kitchen07,0,7
kitchen07,0,9
kitchen07,1,7
kitchen07,1,9
kitchen07,2,7
kitchen07,2,9
kitchen07,3,7
kitchen07,3,9
living_room04,0,7
living_room04,0,9
living_room04,1,7
living_room04,1,9
living_room04,2,7
living_room04,2,9
living_room04,3,7
living_room04,3,9
living_room05,0,7
living_room05,0,9
living_room05,1,7
living_room05,1,9
living_room05,2,7
living_room05,2,9
living_room05,3,7
living_room05,3,9
living_room10,0,7
living_room10,0,9
living_room10,1,7
living_room10,1,9
living_room10,2,7
living_room10,2,9
living_room10,3,7
living_room10,3,9
living_room11,0,7
living_room11,0,9
living_room11,1,7
living_room11,1,9
living_room11,2,7
living_room11,2,9
living_room11,3,7
living_room11,3,9
modern_bedroom01,0,7
modern_bedroom01,0,9
modern_bedroom01,1,7
modern_bedroom01,1,9
modern_bedroom01,2,7
modern_bedroom01,2,9
modern_bedroom01,3,7
modern_bedroom01,3,9
modern_bedroom02,0,7
modern_bedroom02,0,9
modern_bedroom02,1,7
modern_bedroom02,1,9
modern_bedroom02,2,7
modern_bedroom02,2,9
modern_bedroom02,3,7
modern_bedroom02,3,9
modern_bedroom03,0,7
modern_bedroom03,0,9
modern_bedroom03,1,7
modern_bedroom03,1,9
modern_bedroom03,2,7
modern_bedroom03,2,9
modern_bedroom03,3,7
modern_bedroom03,3,9
modern_loft01,0,7
modern_loft01,0,9
modern_loft01,1,7
modern_loft01,1,9
modern_loft01,2,7
modern_loft01,2,9
modern_loft01,3,7
modern_loft01,3,9
office_inside01,0,7
office_inside01,0,9
office_inside01,1,7
office_inside01,1,9
office_inside01,2,7
office_inside01,2,9
office_inside01,3,7
office_inside01,3,9
office_interior01,0,7
office_interior01,0,9
office_interior01,1,7
office_interior01,1,9
office_interior01,2,7
office_interior01,2,9
office_interior01,3,7
office_interior01,3,9
office_partition01,0,7
office_partition01,0,9
office_partition01,1,7
office_partition01,1,9
office_partition01,2,7
office_partition01,2,9
office_partition01,3,7
office_partition01,3,9
office_scene01,0,7
office_scene01,0,9
office_scene01,1,7
office_scene01,1,9
office_scene01,2,7
office_scene01,2,9
office_scene01,3,7
office_scene01,3,9
porch_house01,0,7
porch_house01,0,9
porch_house01,1,7
porch_house01,1,9
porch_house01,2,7
